,Movie Title,Link,Director and Player
88,Ghostbusters,https://www.imdb.com/title/tt0087332/,"Ivan Reitman (dir.), Bill Murray, Dan Aykroyd"
89,Love,https://www.imdb.com/title/tt3774694/,"Gaspar Noé (dir.), Aomi Muyock, Karl Glusman"
90,Bohemian Rhapsody,https://www.imdb.com/title/tt1727824/,"Bryan Singer (dir.), Rami Malek, Lucy Boynton"
91,Big Gold Brick,https://www.imdb.com/title/tt10308878/,"Brian Petsos (dir.), Andy Garcia, Emory Cohen"
92,Nope,https://www.imdb.com/title/tt10954984/,"Jordan Peele (dir.), Barbie Ferreira, Daniel Kaluuya"
93,Munich: The Edge of War,https://www.imdb.com/title/tt7475578/,"Christian Schwochow (dir.), George MacKay, Jannis Niewöhner"
94,Pleasure,https://www.imdb.com/title/tt8550054/,"Ninja Thyberg (dir.), Sofia Kappel, Zelda Morrison"
95,Knives Out,https://www.imdb.com/title/tt8946378/,"Rian Johnson (dir.), Daniel Craig, Chris Evans"
96,The Fallout,https://www.imdb.com/title/tt11847410/,"Megan Park (dir.), Jenna Ortega, Maddie Ziegler"
97,Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/,"George Miller (dir.), Tom Hardy, Charlize Theron"
98,Uncut Gems,https://www.imdb.com/title/tt5727208/,"Benny Safdie (dir.), Adam Sandler, Julia Fox"
99,Interstellar,https://www.imdb.com/title/tt0816692/,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
